County,Violent crime,Latitude,Longitude
Alameda,510,37.6090291,-121.899142
Butte,155,39.6519275,-121.5858444
Contra Costa,426,37.9034806,-121.9175345
El Dorado3,252,38.7574137,-120.5276129
Fresno,962,36.7394421,-119.78483
Imperial3,219,33.0305487,-115.3595666
Kern,2235,35.3145701,-118.753822
Kings3,122,36.0784807,-119.7956342
Los Angeles,5173,34.063736199999994,-118.35893758036599
Madera,334,37.1716264,-119.7737991
Marin,95,38.0409144,-122.6199638
Merced,432,37.1641544,-120.7678602
Monterey,244,36.2231079,-121.387742
Napa,79,38.4898675,-122.3218414
Orange,213,33.7500378,-117.8704931
Placer,299,39.1012064,-120.7650606
Riverside,885,33.9824949,-117.374238
Sacramento,3117,38.5810606,-121.493895
San Benito,41,36.6248089,-121.1177379
San Bernardino,920,34.1081621,-117.28946
San Diego,1161,32.7174202,-117.162772
San Joaquin,845,37.9372901,-121.2773719
San Luis Obispo,324,35.3540209,-120.375716
San Mateo,330,37.496904,-122.3330573
Santa Barbara,266,34.4221319,-119.702667
Santa Clara,232,37.2333253,-121.6846349
Santa Cruz,295,34.8228005,-118.95022
Shasta,697,40.7965121,-121.9979194
Solano,101,38.2218938,-121.9163555
Sonoma,638,38.5110803,-122.8473388
Stanislaus,394,37.5500871,-121.0501425
Sutter3,104,38.9509675,-121.697088
Tulare4,383,36.2516475,-118.852583
Ventura,169,34.4458248,-119.0779359
Yolo,87,38.7184542,-121.9059001
Yuba,227,39.2839755,-121.3556818
Alpine,39,38.5893934,-119.8345013
Amador,350,38.449089,-120.5911018
Calaveras,3111,38.2558181,-120.4981492
Colusa,333,39.1465578,-122.2209563
Del Norte,101,41.7261767,-123.91328
Glenn3,44,39.5912766,-122.3778662
Humboldt,265,40.5997415,-123.8997734
Inyo3,58,36.5595325,-117.4074712
Lake3,200,39.0505411,-122.7776556
Lassen3,47,40.7685579,-120.730998
Mariposa,89,37.570148,-119.9036592
Mendocino,324,39.3176491,-123.4126399
Modoc3,34,41.5450487,-120.7435998
Mono3,14,37.9533927,-118.9398758
Nevada,139,39.3540335,-120.8089843
Plumas3,82,39.9430988,-120.8059521
Sierra,3,39.5849065,-120.5305731
Siskiyou,39,41.6862466,-122.5360121
Tehama,167,40.1251334,-122.2015529
Trinity,34,40.6053256,-123.171268
Tuolumne,185,38.056944,-119.9919351
